p1,p2,alphaD_true,alphaD_main_pred,rel_abs
1.613999962806701660e+00,1.500000000000000000e+00,2.016097597653399731e+01,2.018051528930664062e+01,9.691650243215279951e-04
1.743000030517578125e+00,1.500000000000000000e+00,2.046534516724899788e+01,2.050137138366699219e+01,1.760352250283450182e-03
1.871000051498413086e+00,1.500000000000000000e+00,2.075862448462100218e+01,2.082185554504394531e+01,3.046013981792857709e-03
2.000000000000000000e+00,1.500000000000000000e+00,2.103606787279399981e+01,2.115129280090332031e+01,5.477493645965137228e-03
2.000000029802322388e-01,1.750000000000000000e+00,1.643745393358900131e+01,1.648620986938476562e+01,2.966148893420430133e-03
3.289999961853027344e-01,1.750000000000000000e+00,1.654719134063400077e+01,1.656555175781250000e+01,1.109579069978637112e-03
4.569999873638153076e-01,1.750000000000000000e+00,1.670640146288999972e+01,1.671708488464355469e+01,6.394807270306593046e-04
5.860000252723693848e-01,1.750000000000000000e+00,1.691855414515099909e+01,1.692298698425292969e+01,2.620105160227941769e-04
7.139999866485595703e-01,1.750000000000000000e+00,1.716510604713799992e+01,1.716935539245605469e+01,2.475571841144129262e-04
8.429999947547912598e-01,1.750000000000000000e+00,1.744151325148899900e+01,1.745147895812988281e+01,5.713785551281237978e-04
9.710000157356262207e-01,1.750000000000000000e+00,1.773602206714999951e+01,1.775199317932128906e+01,9.004900935971796956e-04
1.100000023841857910e+00,1.750000000000000000e+00,1.805362992339600225e+01,1.806438255310058594e+01,5.955937808744583579e-04
1.228999972343444824e+00,1.750000000000000000e+00,1.837317381130599969e+01,1.838199043273925781e+01,4.798638234093654544e-04
1.356999993324279785e+00,1.750000000000000000e+00,1.870110840324100110e+01,1.870191383361816406e+01,4.306859036351973636e-05
1.485999941825866699e+00,1.750000000000000000e+00,1.902465794298100121e+01,1.902876663208007812e+01,2.159665162648972047e-04
1.613999962806701660e+00,1.750000000000000000e+00,1.934998743450699976e+01,1.935631561279296875e+01,3.270378498894471416e-04
1.743000030517578125e+00,1.750000000000000000e+00,1.966498967300800160e+01,1.968857383728027344e+01,1.199297058601726980e-03
1.871000051498413086e+00,1.750000000000000000e+00,1.997772755416900026e+01,2.002105903625488281e+01,2.168989539395337063e-03
2.000000000000000000e+00,1.750000000000000000e+00,2.028419407978899969e+01,2.036157989501953125e+01,3.815079609578284417e-03
2.000000029802322388e-01,2.000000000000000000e+00,1.590897859796499958e+01,1.593817901611328125e+01,1.835467812623548878e-03
3.289999961853027344e-01,2.000000000000000000e+00,1.595396401126500052e+01,1.596816635131835938e+01,8.902076025325533206e-04
4.569999873638153076e-01,2.000000000000000000e+00,1.605961409292699926e+01,1.607185173034667969e+01,7.620131684901534398e-04
5.860000252723693848e-01,2.000000000000000000e+00,1.623066280982499876e+01,1.624017715454101562e+01,5.861956980744799156e-04
7.139999866485595703e-01,2.000000000000000000e+00,1.644753141984299916e+01,1.645462989807128906e+01,4.315831991496305205e-04
8.429999947547912598e-01,2.000000000000000000e+00,1.669747902574999898e+01,1.670501518249511719e+01,4.513350029364510238e-04
9.710000157356262207e-01,2.000000000000000000e+00,1.698568800206200180e+01,1.699240112304687500e+01,3.952222002463633599e-04
1.100000023841857910e+00,2.000000000000000000e+00,1.729086771148099899e+01,1.730350112915039062e+01,7.306410459090577781e-04
1.228999972343444824e+00,2.000000000000000000e+00,1.761021700894299968e+01,1.762151336669921875e+01,6.414661301721855721e-04
1.356999993324279785e+00,2.000000000000000000e+00,1.793547395566899993e+01,1.794295692443847656e+01,4.172161152792636042e-04
1.485999941825866699e+00,2.000000000000000000e+00,1.827399288250600051e+01,1.827429199218750000e+01,1.636805286193529805e-05
1.613999962806701660e+00,2.000000000000000000e+00,1.861017086135800014e+01,1.860971450805664062e+01,2.452171475260775158e-05
1.743000030517578125e+00,2.000000000000000000e+00,1.893888291873599883e+01,1.895293426513671875e+01,7.419311086621218710e-04
1.871000051498413086e+00,2.000000000000000000e+00,1.926672837680300177e+01,1.929801177978515625e+01,1.623700836506288773e-03
2.000000000000000000e+00,2.000000000000000000e+00,1.958983144988700076e+01,1.965155410766601562e+01,3.150749813080749862e-03
2.000000029802322388e-01,2.250000000000000000e+00,1.553269376188299944e+01,1.548609542846679688e+01,3.000016232249050167e-03
3.289999961853027344e-01,2.250000000000000000e+00,1.548496040131399809e+01,1.546774387359619141e+01,1.111822521441239954e-03
4.569999873638153076e-01,2.250000000000000000e+00,1.552173762354300024e+01,1.553381919860839844e+01,7.783648556894271148e-04
5.860000252723693848e-01,2.250000000000000000e+00,1.564307353103700038e+01,1.565055561065673828e+01,4.782998433711194782e-04
7.139999866485595703e-01,2.250000000000000000e+00,1.582283041776400090e+01,1.583062648773193359e+01,4.927102017841378375e-04
8.429999947547912598e-01,2.250000000000000000e+00,1.605166926166899799e+01,1.605858421325683594e+01,4.307933010026992267e-04
9.710000157356262207e-01,2.250000000000000000e+00,1.631546992319299960e+01,1.630967521667480469e+01,3.551663878193014878e-04
1.100000023841857910e+00,2.250000000000000000e+00,1.660930397768500200e+01,1.661325836181640625e+01,2.380824709281655516e-04
1.228999972343444824e+00,2.250000000000000000e+00,1.692331570012699871e+01,1.693210601806640625e+01,5.194205494459680364e-04
