model,n,retain,region,idx,V0_is,g0,time_s,time_ms,max_relative_observable_error,spectrum_relative_l2_error,spectrum_pointwise_max_relative_error,half_life_relative_error
EM1,8,0.9,test/extrapolation region,88,1.857,0.357,0.001111290999688208,1.111290999688208,0.05923035772463933,0.05923035772463933,0.06766209619963066,0.029245764363588302
EM1,8,0.9,test/extrapolation region,89,2.0,0.357,0.0016145000008691568,1.6145000008691568,0.11795808340978192,0.11795808340978192,0.11625068170486731,0.08793842970727714
EM1,8,0.9,test/extrapolation region,90,0.0,0.429,0.0011159580008097691,1.1159580008097691,0.06531379948727381,0.06531379948727381,0.05751630959884716,0.008055215100916903
EM1,8,0.9,test/extrapolation region,91,0.143,0.429,0.0010356249986216426,1.0356249986216426,0.06236770691907671,0.06236770691907671,0.05427190884741089,0.0026522557633872467
EM1,8,0.9,fit region,92,0.286,0.429,0.0009631249995436519,0.9631249995436519,0.06207239885387402,0.06207239885387402,0.05452253909537617,0.001507386009584605
EM1,8,0.9,fit region,93,0.429,0.429,0.0008815410001261625,0.8815410001261625,0.06347442333100545,0.06347442333100545,0.0658415012872814,0.003752145780367885
EM1,8,0.9,fit region,94,0.571,0.429,0.000976334000370116,0.976334000370116,0.06569603123418889,0.06569603123418889,0.07531099790397165,0.003819035108332386
EM1,8,0.9,fit region,95,0.714,0.429,0.000909874999706517,0.909874999706517,0.06816430917466222,0.06816430917466222,0.08316675198325373,0.002054288219573156
EM1,8,0.9,fit region,96,0.857,0.429,0.0009081250009330688,0.9081250009330688,0.07035284745103833,0.07035284745103833,0.08964010619254616,0.0004579725493916784
EM1,8,0.9,fit region,97,1.0,0.429,0.0008619580003141891,0.8619580003141891,0.07037551663607854,0.07037551663607854,0.08844202543646598,0.0020820423971019885
EM1,8,0.9,fit region,98,1.143,0.429,0.000870750000103726,0.870750000103726,0.06496856414316059,0.06496856414316059,0.06921456416285723,0.00135384053306412
EM1,8,0.9,fit region,99,1.286,0.429,0.0009433340001123725,0.9433340001123725,0.06251896139579954,0.06251896139579954,0.06479142141267119,0.0019324976047518717
EM1,8,0.9,fit region,100,1.429,0.429,0.000946459000260802,0.946459000260802,0.059483716425897636,0.059483716425897636,0.0558884742672614,0.005789489481803955
EM1,8,0.9,fit region,101,1.571,0.429,0.0009969589991669636,0.9969589991669636,0.06246207159629094,0.06246207159629094,0.049499899607746485,0.005761237107335333
EM1,8,0.9,fit region,102,1.714,0.429,0.0009145000003627501,0.9145000003627501,0.05133513440986438,0.05133513440986438,0.04583151463227702,0.004856383068666181
EM1,8,0.9,test/extrapolation region,103,1.857,0.429,0.0009325410010205815,0.9325410010205815,0.05466252665066432,0.05466252665066432,0.06006018828383566,0.03500928227957286
EM1,8,0.9,test/extrapolation region,104,2.0,0.429,0.0008753330002946313,0.8753330002946313,0.099708580113289,0.099708580113289,0.10071451540760437,0.09700992495649655
EM1,8,0.9,test/extrapolation region,105,0.0,0.5,0.0010997090012097033,1.0997090012097033,0.07240399982693244,0.07240399982693244,0.05760406066795843,0.010954729635954959
